QuestionID,Category,Topic,Question,Answer,AnswerChoice1,AnswerChoice2,AnswerChoice3,AnswerChoice4
1,Cloud Concepts,Cloud Benefits,Which cloud concept describes the ability to recover from a region-wide failure?,Disaster Recovery,High availability,Fault tolerance,Disaster Recovery,Agility
2,Cloud Concepts,Cloud Benefits,Which cloud concept describes the ability to increase or decrease resources to meet demand?,Scalability,Agility,High availability,Scalability,Reliability
3,Cloud Concepts,Cloud Benefits,Which cloud benefit describes the ability to rapidly deploy and update applications and resources?,Agility,Agility,Fault tolerance,Reliability,Elasticity
4,Cloud Concepts,CapEx vs OpEx,Which type of expense is a monthly subscription fee for a software service?,OpEx,Total Cost of Ownership (TCO),OpEx,CapEx,Return on Investment (ROI)
5,Cloud Concepts,Service Models,"In Azure, in which service model does the cloud provider manage the physical infrastructure and the operating system, but the customer manages the application and data?",PaaS,SaaS,IaaS,FaaS (serverless),PaaS
6,Cloud Concepts,Service Models,"In Azure, Microsoft 365 is an example of which cloud service model?",SaaS,FaaS (serverless),PaaS,SaaS,IaaS
7,Cloud Concepts,Cloud Models,Which cloud deployment model is owned and operated by the organization that uses it?,Private Cloud,Hybrid Cloud,Public Cloud,Community Cloud,Private Cloud
8,Cloud Concepts,Cloud Models,"In Azure, a deployment that combines public and private clouds is known as?",Hybrid Cloud,Community Cloud,Private Cloud,Hybrid Cloud,Public Cloud
9,Azure Architecture,Regions,"In Azure, a region pair is defined as:",Two regions in the same geography,Two regions in the same geography,Two regions in different geographies,Two availability zones in one region,Two datacenters in the same region
10,Azure Architecture,Availability Zones,Azure Availability Zones are designed to protect against which type of failure?,Datacenter failure,Tenant failure,Resource Group failure,Subscription failure,Datacenter failure
11,Azure Architecture,Resources,Which statement is true about Azure Resource Groups?,Resources can be moved between resource groups,Resources can be moved between resource groups,A resource can belong to multiple resource groups at the same time,Resource groups must be in the same region as all resources,Deleting a resource group keeps the resources
12,Azure Architecture,Management Groups,What is the highest level of scope for applying policies in Azure?,Management Group,Azure Monitor,Management Group,Azure Advisor,Azure Policy
13,Azure Architecture,Subscriptions,An Azure subscription is primarily a logical container for:,Billing and Access Control,Compute capacity only,Billing and Access Control,Physical storage,Networking hardware
14,Azure Services,Compute,Which service creates a scale set of identical VMs?,Azure Virtual Machine Scale Sets,Azure Virtual Machine Scale Sets,Azure Container Instances,Azure Batch,Azure Virtual Machines
15,Azure Services,Compute,Which service is used to run containerized applications without managing the underlying servers?,Azure Container Instances,Azure Virtual Machine Scale Sets,Azure Virtual Machines,Azure Kubernetes Service (AKS),Azure Container Instances
16,Azure Services,Compute,What is the orchestration service for managing large numbers of containers?,Azure Kubernetes Service (AKS),Azure Batch,Azure Kubernetes Service (AKS),Azure App Service,Azure Functions
17,Azure Services,Compute,Which service allows you to provide a cloud-based desktop experience to users?,Azure Virtual Desktop,Azure App Service,Azure Virtual Desktop,Azure Batch,Azure Dedicated Host
18,Azure Services,Networking,Which resource isolates your Azure resources from the internet and other networks?,Azure Virtual Network (VNet),Network Security Group (NSG),Azure Virtual Network (VNet),Azure Load Balancer,Azure Traffic Manager
19,Azure Services,Networking,"In Azure, to communicate between two virtual networks in the same region, you should use:",VNet Peering,VNet Peering,Network Security Group (NSG),Azure Application Gateway,Azure Virtual Network (VNet)
